,chapter,dim0,dim1,book_number,book_ch,sentiment_score,book_name
44,45,-0.0262623732600327,0.0659359752448593,1,1-45,0.2707423580786026,David Copperfield
45,46,-0.1347594875840353,-0.1306790651866083,1,1-46,0.2326602282704126,David Copperfield
46,47,-0.1610459375983705,-0.0404397017701513,1,1-47,0.182466870540265,David Copperfield
47,48,-0.1790271024649287,0.5003267677803839,1,1-48,0.2157598499061913,David Copperfield
48,49,0.6911954267320038,0.0057985319100718,1,1-49,0.2230971128608924,David Copperfield
49,50,-0.1741144260103569,-0.0271401194649378,1,1-50,0.1765389082462253,David Copperfield
50,51,-0.1539425180144779,-0.2866545859557446,1,1-51,0.2350877192982456,David Copperfield
51,52,0.5896212390537459,0.0545880804475142,1,1-52,0.2098092643051771,David Copperfield
52,53,-0.1961442833738416,0.4021131092878349,1,1-53,0.2575,David Copperfield
53,54,0.5532008755464436,0.0637666102843791,1,1-54,0.2474074074074074,David Copperfield
54,55,-0.1356919920242321,-0.0738455759565206,1,1-55,0.1583411875589067,David Copperfield
55,56,-0.1685545931095705,-0.030219217949737,1,1-56,0.1626409017713365,David Copperfield
56,57,0.6829210781093943,-0.0432234440023523,1,1-57,0.2427184466019417,David Copperfield
57,58,-0.1373628087337798,0.1249464485067293,1,1-58,0.1952380952380952,David Copperfield
58,59,0.0506566035739284,0.0405139099052747,1,1-59,0.2654924983692107,David Copperfield
59,60,-0.1110859358684844,0.1698196572011416,1,1-60,0.2566844919786096,David Copperfield
60,61,0.043043663741112,0.0215250961776578,1,1-61,0.2425531914893617,David Copperfield
61,62,-0.1435047665466573,0.2080294405434709,1,1-62,0.2591587516960651,David Copperfield
62,63,0.0858658699662441,-0.1826492415411054,1,1-63,0.2690909090909091,David Copperfield
63,64,-0.0455144985325483,0.1418928883619205,1,1-64,0.2446236559139785,David Copperfield
64,1,-0.2308818359610956,0.7236718112815171,3,3-1,0.2222222222222222,The Scarlet Letter
65,2,-0.1070249540315693,0.3270726027566112,3,3-2,0.1940726577437858,The Scarlet Letter
66,3,-0.2061918650226123,-0.1004953694900474,3,3-3,0.216243654822335,The Scarlet Letter
67,4,0.0839203285861652,-0.267609314452965,3,3-4,0.2023289665211062,The Scarlet Letter
68,5,-0.0560912170684597,0.2248379428403988,3,3-5,0.176522506619594,The Scarlet Letter
69,6,0.4094649496710119,0.1177327355500348,3,3-6,0.2034757422157856,The Scarlet Letter
70,7,0.184971906383997,0.333237112542337,3,3-7,0.2360248447204969,The Scarlet Letter
71,8,0.198716239897504,-0.0849841810809098,3,3-8,0.2059352517985611,The Scarlet Letter
72,9,-0.4658317536520781,-0.1057608001740332,3,3-9,0.2708333333333333,The Scarlet Letter
73,10,-0.2925261630501851,-0.2232334786794587,3,3-10,0.2081406105457909,The Scarlet Letter
74,11,-0.3765279557835397,-0.0551078725155793,3,3-11,0.1923551171393341,The Scarlet Letter
75,12,-0.1107128613525484,-0.126825737487757,3,3-12,0.1949152542372881,The Scarlet Letter
76,13,-0.0578985465068855,0.161534992238883,3,3-13,0.2025171624713958,The Scarlet Letter
77,14,0.0115637645470541,-0.3137693559324735,3,3-14,0.1917177914110429,The Scarlet Letter
78,15,0.3392084996569524,0.012893716300881,3,3-15,0.1917613636363636,The Scarlet Letter
79,16,0.3807930338563333,-0.080887202679438,3,3-16,0.1925042589437819,The Scarlet Letter
80,17,0.0301405887313699,-0.330721004873065,3,3-17,0.1452991452991453,The Scarlet Letter
81,18,0.2403384032061753,0.0226782899808996,3,3-18,0.1972789115646258,The Scarlet Letter
82,19,0.5031395463644349,-0.0791821935681234,3,3-19,0.2048846675712347,The Scarlet Letter
83,20,-0.3005402584550498,-0.1308949459714641,3,3-20,0.25,The Scarlet Letter
84,21,-0.0290229392436433,0.1394721997667959,3,3-21,0.2544529262086514,The Scarlet Letter
85,22,0.0235707759345833,-0.0288163086434153,3,3-22,0.2452068617558022,The Scarlet Letter
86,23,-0.1725776867079146,-0.1348436377096289,3,3-23,0.2099596231493943,The Scarlet Letter
